Stop_Code_LBSL,Bus_Stop_Code,Naptan_Atco,Stop_Name,Location_Easting,Location_Northing,Heading,Stop_Area,Virtual_Bus_Stop
10303,56071,490009667S,MARKHOUSE AVENUE,536578,188491,167,YA02,0
10308,54143,490007974N,HAZELWOOD ROAD,536257,188881,318,YH12,0
10309,74646,490014166R,WALTHAMSTOW MARKET,536302,188834,156,YH12,0
1031,55951,490001014A,BARNES STATION #,522267,175737,38,M401,0
10313,58587,490009306S,LONGFIELD AVENUE,536071,189098,167,YH11,0
10316,50920,490000024A,BLACKHORSE ROAD STATION <> #,535854,189345,348,YH10,0
10317,73411,490000024B,BLACKHORSE ROAD STATION <> #,535861,189367,166,YH10,0
10318,54906,490004103N,BLENHEIM ROAD,535857,189755,351,YG03,0
10319,48960,490006928S,FOREST ROAD,535864,189465,205,YH09,0
10320,55452,490006928N,FOREST ROAD,535867,189518,20,YH09,0
10321,77849,490004103S,BLENHEIM ROAD,535904,189660,165,YG04,0
10324,55434,490012034N,WALTHAM FOREST COLLEGE / UPLANDS HOUSE,535857,190128,9,YG02,0
10325,52834,490011183S,PRIESTLEY WAY,535886,189904,190,YG03,0
10327,77138,490012034S,WALTHAM FOREST COLLEGE / UPLANDS HOUSE,535873,190136,183,YG02,0
10328,49402,490005353N,CLARENCE ROAD,535784,190307,347,YG01,0
10330,75429,490009019E,LAWRENCE AVENUE,535912,190708,89,Y510,0
10331,76183,490014940S,WORCESTER ROAD,535770,190461,165,Y511,0
10333,53754,490009019W,LAWRENCE AVENUE,535957,190696,268,Y510,0
10334,56904,490008134E,HIGHAM HILL ROAD,536098,190735,79,Y509,0
10337,56118,490008134W,HIGHAM HILL ROAD,536108,190722,259,Y509,0
10338,48643,490007597E,GUILDSWAY,536614,190824,87,Y507,0
10340,74874,490010345E,NORTH COUNTESS ROAD,536822,190825,88,Y506,0
10341,76593,490007597W,GUILDSWAY,536583,190813,266,Y507,0
10342,75441,490009759E,WALTHAMSTOW ACADEMY,537012,190868,67,Y505,0
10343,75778,490010345W,NORTH COUNTESS ROAD,536782,190809,265,Y506,0
10345,57148,490009759W,WALTHAMSTOW ACADEMY,537028,190857,246,Y505,0
10347,49767,490004905W,CECIL ROAD,537174,190909,259,Y504,0
10351,74998,3700077,KAYWOOD CLOSE,499482,179165,131,6Z14,0
10352,74860,490007596K,BANK STATION <> / POULTRY,532532,181150,102,1401,0
10359,55458,490006616E,ERITH FIRE STATION,549767,178438,63,E513,0
10360,56127,490006616W,ERITH FIRE STATION,549808,178442,246,E513,0
10362,56616,490003959S,BEULAH SPA,532748,170084,152,HR06,0
10363,58665,490003959N,BEULAH SPA,532719,170115,332,HR06,0
10364,53488,490003497E,AVENUE ROAD,527416,183348,48,8G04,0
10365,73092,490003497W,AVENUE ROAD,527511,183406,235,8G04,0
1037,53342,490012521E,STAMFORD BROOK BUS GARAGE,521636,178587,77,NG02,0
1038,71601,490012521PP,STAMFORD BROOK BUS GARAGE,521620,178568,257,NG02,0
1039,51237,490005210SS,CHISWICK POLICE STATION,520910,178487,265,NG04,0
104,59457,490001108W,FENCHURCH STREET STATION #,533329,180989,243,1007,0
1040,76767,490005423FF,CLIFTON GARDENS,520773,178494,90,NG05,0
1041,77336,490012434HH,ST ANN'S ROAD,531763,188697,351,9A13,0
1042,52990,490012434HK,ST ANN'S ROAD,531756,188835,172,9A13,0
1043,58527,490013739M,TOTTENHAM TOWN HALL,533739,189444,13,9D01,0
10439,55159,490007093W1,WOOLWICH ROAD / GALLIONS ROAD,540897,178446,261,GP05,0
1045,52812,490011849RB,SADLER'S WELLS THEATRE,531476,182834,211,C110,0
10458,52726,490008264S,ST MARY OF ETON CHURCH,536695,184772,176,DE01,0
10459,76775,490008264N,ST MARY OF ETON CHURCH,536683,184824,355,DE01,0
1046,54519,490011849RA,SADLER'S WELLS THEATRE,531467,182843,31,C110,0
10460,72310,490008109T,HESA ROAD,510501,180922,25,P102,0
10462,77778,490013979Q,THE GRAPES,510673,181129,208,P103,0
10464,71195,490006951N,FORTUNE GREEN,525100,185526,356,8B13,0
10465,71434,490014468S,WEST HAMPSTEAD POLICE STATION,525220,185397,129,8B12,0
10468,73028,490015102C,LEA BRIDGE ROAD / BAKERS ARMS,537878,188264,32,YD02,0
10469,77513,490015102D,LEA BRIDGE ROAD / BAKERS ARMS,537837,188189,220,YD02,0
1047,55837,490013485S1,THE OLD VIC,531368,179740,143,4304,0
1048,50694,490013485N,THE OLD VIC,531345,179734,323,4304,0
1049,58644,490000094B,GUNNERSBURY STATION <> #,519799,178464,81,NF07,0
1051,73188,490003269N,ALPHA CLOSE,527451,182506,313,0T05,0
1052,49244,490011716S,LONDON BUSINESS SCHOOL,527604,182407,126,0T04,0
1054,54965,490006008W,DEAN STREET / CHINATOWN,529797,180925,237,0C06,0
1057,71271,490015239K,HOLBORN STATION <>,530646,181539,251,8016,0
10580,48232,490010001S,MONTPELIER ROAD,517584,181651,153,QS08,0
1059,49218,490010149J,HOLLAND ROAD / NAPIER PLACE,524584,179096,315,7901,0
106,76770,490012357W2,VESTRY ROAD,533283,176714,269,3P06,0
1061,47857,490010305E,NORLAND SQUARE,524330,180094,69,7706,0
1062,51009,490000113G,HOLLAND PARK STATION <>,524595,180195,244,7801,0
1063,74899,490006437HE,EDITH GROVE,526132,177655,43,7F15,0
1064,53729,490007055HK,FULHAM ROAD / CHELSEA & WESTMINSTER HOSP,526146,177729,140,7F03,0
1065,74282,490006437HB,EDITH GROVE,526212,177722,228,7F15,0
1067,74955,490003726E,FULHAM ROAD / BEAUFORT STREET,526562,178085,42,7F17,0
1069,48108,490006514N,OLD CHURCH STREET,526724,178261,41,7C03,0
10690,52589,490015411N,SPUR ROAD / ORPINGTON WAR MEMORIAL,546166,165873,273,F707,0
10694,73356,490011165S,PRATTS BOTTOM / SEVENOAKS ROAD,547131,162667,186,F421,0
107,49574,490000119M,HYDE PARK CORNER STATION <>,528274,179818,250,0J05,0
1070,74835,490006514S,OLD CHURCH STREET,526702,178215,221,7C03,0
10705,52614,490015411L,SEVENOAKS ROAD / ORPINGTON WAR MEMORIAL,546076,165793,11,F706,0
1071,49984,490010603N,ONSLOW SQUARE,526985,178620,322,7C05,0
10715,75702,490014077E,VILLAGE GREEN ROAD,552042,175069,74,EE11,0
10716,57226,490013537W,THE RISE,551968,175037,253,EE12,0
10717,49819,490012543E,STANHAM PLACE,552394,175129,84,EE10,0
10719,75082,490013433S,THE JOLLY FARMERS OPEN SPACE,552522,175146,244,EE09,0
1072,52470,490010603S,ONSLOW SQUARE,526989,178635,142,7C05,0
10720,51040,490013433N,MILL PLACE,552615,175256,27,EE09,0
10721,49603,490010950W,PERRY STREET,551584,176098,269,EE19,0
10722,55185,490010950E,PERRY STREET,551617,176107,89,EE19,0
10723,52503,490006670W,EVERSLEY CROSS,551316,176093,269,ED11,0
10724,56047,490006670E,EVERSLEY CROSS,551278,176101,89,ED11,0
10725,77759,490009597W,NORTHALL ROAD / MANOR WAY,550463,176129,274,ED08,0
10726,77451,490009597E,PARKSIDE AVENUE / MANOR WAY,550723,176098,90,ED09,0
10729,75645,490010356W,BRIDGE ROAD / NORTHEND ROAD,551712,176489,250,E105,0
1073,76752,490010928E,PENTON STREET,531073,183104,81,C007,0
1074,49357,490010928W,PENTON STREET / CHAPEL MARKET,531164,183107,258,C007,0
1075,56776,490007598N,GUILFORD STREET,530828,182245,323,8801,0
1076,54383,490007598S,GUILFORD STREET,530787,182322,143,8801,0
1077,71366,490000123B,KENTISH TOWN STATION <> #,528990,185246,335,8K08,0
1078,75430,490000123A,KENTISH TOWN STATION <> #,529012,185118,185,8K08,0
10794,73705,490015290S,COOMBE ROAD,532621,164939,171,HC28,0
10795,56718,490015290N,COOMBE ROAD,532608,164915,354,HC28,0
10797,49354,490005575N,BIRDHURST GARDENS,533054,164687,31,HE09,0
10798,72199,490004026B,BIRDHURST ROAD / SOUTH CROYDON STATION #,533039,164261,114,HE11,0
10799,55814,490001258A,BIRDHURST ROAD / SOUTH CROYDON STATION #,532948,164290,290,HE11,0
1080,47253,490015396NK,NEWINGTON GREEN,532820,185381,14,CA02,0
10804,54305,490004802S2,CARLTON ROAD,532947,163532,176,HE26,0
10806,51493,490004802N,TWIN BRIDGES BUSINESS PARK,532935,163608,303,HE25,0
10807,74493,490004802S1,CARLTON ROAD,533012,163573,119,HE25,0
10808,77760,490005794E,CROHAM ROAD,532663,164229,344,HD10,0
1081,77826,490010224S3,ALBION ROAD,532793,185469,126,CA02,0
10811,59436,4.90E+24,ELECTRIC HOUSE,532519,165679,333,HC12,0
10813,48143,4.90E+23,WHITGIFT CENTRE,532444,165831,335,HC11,0
10814,75479,4.90E+19,WHITGIFT CENTRE,532432,165928,155,HC11,0
10816,76006,490011275C,PURLEY WAY / WADDON STATION #,530973,164850,263,H901,0
10817,52173,490011275D,PURLEY WAY / WADDON STATION #,530956,164861,83,H901,0
1082,49943,490019676NB,GREEN LANES,532855,185470,193,CA11,0
10820,53062,490013603C,PURLEY OAKS STATION #,532396,162905,207,H403,0
10821,72161,490013603N,PURLEY OAKS STATION #,532321,162781,27,H403,0
10824,75325,490011259G,PURLEY / DOWNLANDS PRECINCT,531352,161707,227,H511,0
10825,56739,490005236N,CHRISTCHURCH ROAD / PURLEY HOSPITAL,531508,161865,48,H513,0
10828,49076,490005574V,COOMBE ROAD,532426,164846,358,HC20,0
10829,50432,490005574S,COOMBE ROAD,532415,164953,164,HC21,0
1083,58305,490009224Z,LIVERPOOL ROAD,531119,185283,137,C702,0
10833,71688,490010864N,PASTEUR GARDENS,532570,192128,346,U502,0
10834,57879,490010864S,PASTEUR GARDENS,532599,192130,167,U502,0
10835,48321,490006564N,EMPIRE PARADE,532644,191812,353,U501,0
10836,49187,490006564S,EMPIRE PARADE,532674,191766,177,U501,0
10839,76029,490010323H,CHURCH HILL ROAD,523483,164970,285,JC08,0
1084,49908,490009224Y,LIVERPOOL ROAD,531145,185230,319,C702,0
10840,49495,490010323J,CHURCH HILL ROAD,523534,164918,142,JC08,0
10852,47321,490010753W,PARK AVENUE,530550,190781,297,9712,0
10856,75436,490003236W,ALLIANCE ROAD,519612,182238,276,Q403,0
10860,76955,490012359S,SOUTHWOOD AVENUE,528783,187935,147,9109,0
10864,48609,490007797N,HARINGEY CIVIC CENTRE,530894,190703,346,9705,0
10866,47410,490007797S,HARINGEY CIVIC CENTRE,530910,190702,166,9705,0
10868,74928,490004746S,CANNING CRESCENT,530852,190905,162,9706,0
1087,71108,490000052SB,CLAPHAM SOUTH STATION <>,528750,174295,85,5912,0
10871,50921,490003925S,BERKSHIRE GARDENS,530955,191645,193,U601,0
10872,57424,490003875N,BERKSHIRE GARDENS,530958,191728,9,U601,0
10875,48450,490010333W,TOTTENHALL ROAD,531004,191963,182,U602,0
10878,71522,490004486J,BROOMFIELD LANE,530970,192377,2,U604,0
10879,51198,490004486K,BROOMFIELD LANE,530985,192396,182,U604,0
1088,72201,490000052SA,CLAPHAM SOUTH STATION <>,528741,174281,265,5912,0
10880,53256,490010736G,PALMERS GREEN / THE TRIANGLE,530996,192606,6,U605,0
10881,47221,490009248C,LODGE DRIVE,531110,192821,26,U606,0
10883,75172,490006974A,FOX LANE,531172,192966,19,U607,0
10885,71425,490006974Z,FOX LANE,531220,193067,199,U607,0
10888,55929,490011855N,ST MONICA'S CHURCH,531418,193381,62,U701,0
10889,54829,490004196S,BOURNE HILL,531317,193285,212,U608,0
1089,77905,490010776W,PARK HILL,529734,175050,329,4J08,0
10890,77107,490009764N,MEADOWCROFT ROAD,531553,193486,43,U702,0
10893,73261,490009764S,MEADOWCROFT ROAD,531591,193506,226,U702,0
109,54653,490000119P,HYDE PARK CORNER STATION <>,528237,179804,252,0J05,0
10900,58337,490012612C,STATION ROAD,531839,194173,32,U705,0
10901,77062,490000027B,BOSTON MANOR STATION <>,516433,178756,119,N909,0
10905,73276,490007438S2,GREEN DRAGON LANE,532191,194766,29,UR01,0
10906,77534,490007438S1,GREEN DRAGON LANE,532153,194688,222,UR01,0
10910,54424,490012220W,SOLNA ROAD,532507,194733,277,UR02,0
10911,47899,490012220N,SOLNA ROAD,532550,194744,92,UR02,0
10913,48192,490005549N,CONIFER GARDENS,532964,195151,7,UR04,0
10914,55466,490005549S,CONIFER GARDENS,532967,195058,191,UR04,0
10919,54532,490004650N,BUSH HILL,532867,195683,322,UR06,0
10920,48796,490004650S,BUSH HILL,532894,195664,146,UR06,0
10921,58127,490010760N,PARK CRESCENT,532929,195952,31,US08,0
10922,48464,490010760S,PARK CRESCENT,532914,195903,210,US08,0
10925,57907,490004904Y,CECIL ROAD / ST ANNES SCHOOL,532919,196301,352,US09,0
10926,71466,490009169S,CECIL ROAD / ST ANNES SCHOOL,532940,196217,172,US09,0
10927,73979,490006588R,ENFIELD TOWN / GENOTIN ROAD,532962,196510,166,US05,0
10928,71168,490006587D,ENFIELD TOWN / CHURCH STREET,532680,196565,92,US07,0
10942,56465,490013736N,TOTTENHAM POLICE STATION,533778,189713,5,9D02,0
10944,57427,490013739N,TOTTENHAM TOWN HALL,533758,189438,192,9D01,0
10948,49881,490014853E,WOOD GREEN CROWN COURT,531425,190570,63,9703,0
1095,54273,490005320W,WESTMINSTER ACADEMY / CIRENCESTER STREET,525527,181772,316,0P06,0
10951,58611,490014853W,WOOD GREEN CROWN COURT,531379,190534,243,9703,0
10952,51168,490010954E,PERTH ROAD,531675,190686,80,9806,0
10953,71327,490010954W,PERTH ROAD,531570,190636,245,9807,0
10954,48516,490007201E,GLADSTONE AVENUE,531934,190573,117,9804,0
10955,72923,490010036W,MORLEY AVENUE,531811,190625,298,9805,0
10957,52472,490007201W,GLADSTONE AVENUE,532006,190523,282,9803,0
10958,47653,490014410E,WESTBURY AVENUE / LORDSHIP LANE,532130,190543,94,9802,0
1096,56406,490005320E,WESTMINSTER ACADEMY / CIRENCESTER STREET,525538,181783,136,0P06,0
10960,76270,490013539W,THE ROUNDWAY / WEST ARM,532303,190512,272,9801,0
10961,47555,490013539E,THE ROUNDWAY / WEST ARM,532280,190532,93,9801,0
10962,77637,490014177E,WALTHEOF AVENUE,532613,190519,90,9C06,0
10963,73325,490014177W,WALTHEOF AVENUE,532521,190507,269,9C06,0
10966,59483,490003521E,AWLFIELD AVENUE,532949,190539,83,9C05,0
10967,53573,490003521W1,AWLFIELD AVENUE,532866,190518,264,9C05,0
10968,55537,490010091E,MOUNT PLEASANT ROAD,533207,190579,85,9C03,0
10969,48951,490010091W,MOUNT PLEASANT ROAD,533064,190545,256,9C04,0
10972,71335,490004520W,THE ROUNDWAY / EAST ARM,533370,190596,257,9C02,0
10973,47712,490004520M,BRUCE CASTLE PARK,533460,190563,142,9C01,0
10974,48872,490013233N,ELMHURST ROAD,533634,190344,140,9D12,0
10975,57437,490013853L,ELMHURST ROAD,533568,190408,321,9D12,0
10978,56851,490001040O,BRUCE GROVE STATION #,533768,190175,141,9D11,0
10979,47838,490001040K,BRUCE GROVE STATION #,533730,190204,321,9D11,0
1098,76060,490010561W,PARNELL ROAD,536803,183711,259,BD09,0
1099,53591,490010561E,PARNELL ROAD,536776,183718,80,BD09,0
110,55572,490009117T,CATFORD ROAD / LEWISHAM TOWN HALL,537627,173609,273,2L06,0
1100,48132,490000028C,BOUNDS GREEN STATION <>,530034,191581,13,9614,0
1101,74696,490000028D,BOUNDS GREEN STATION <>,530032,191524,193,9614,0
1103,75945,490013170S,TAVISTOCK SQUARE,529962,182326,144,8401,0
1104,56086,490010861T,PARSONS GREEN LANE / FULHAM LIBRARY,524988,176951,25,6J04,0
1105,77928,490010861V,PARSONS GREEN LANE / FULHAM LIBRARY,524944,176870,235,6J04,0
1106,71721,4.90E+10,MUNSTER ROAD,524590,176518,32,6H09,0
1107,50175,490010123W2,MUNSTER ROAD,524585,176491,216,6H09,0
1108,50075,490011491N,HERNE HILL ROAD,532535,175181,35,3Q03,0
1109,72686,490011491S,HERNE HILL ROAD,532481,175073,212,3Q03,0
11093,72123,490004267E,THE GREEN,505301,190561,123,PL01,0
11094,73783,490007784S,MERLE AVENUE,505161,190399,209,PL13,0
11097,74068,490012137E,SHRUBS ROAD,506702,191541,65,PK03,0
11098,48567,490012137W,SHRUBS ROAD,506674,191513,245,PK03,0
1111,73082,490009859S,MIDDLETON ROAD,533501,184236,183,D403,0
11116,48485,490010141E,MYDDELTON ROAD,530424,189323,74,9305,0
11118,76368,490013557N,ARDLEIGH GREEN SCHOOL,553943,189692,15,VK01,0
11119,50087,490013557S,ARDLEIGH GREEN SCHOOL,553945,189641,186,VK01,0
11121,77784,490003975L,MARKET PLACE / BEXLEYHEATH CLOCK TOWER,549273,175249,259,EC06,0
11126,53998,490012130W,SHREWSBURY ROAD,541897,184210,233,AG10,0
11127,54505,490013628S,THORNHILL ROAD,518257,165793,193,K903,0
11128,77520,490013628N,THORNHILL ROAD,518253,165838,13,K902,0
1113,51563,490012019V,SHACKLEWELL LANE,533565,185368,182,D602,0
11133,55435,490014376C,LAKESIDE WAY,518957,185728,201,RQ01,0
11134,75070,490014375G,WEMBLEY ARENA,519012,185896,25,RQ02,0
11135,75203,490014469E,EDGWARE ROAD / THE HYDE,521382,188696,68,R105,0
11136,76333,490014469W,EDGWARE ROAD / THE HYDE,521433,188702,243,R105,0
11137,49026,490011828E,RUVIGNY GARDENS,523794,175765,107,5S06,0
11138,59264,490011828W,RUVIGNY GARDENS,523839,175748,277,5S06,0
11139,58460,490006825E,FESTING ROAD,523499,175863,110,5R01,0
1114,53056,4.90E+09,GREENWOOD ROAD,534346,184772,92,D308,0
11140,54324,490006825W,FESTING ROAD,523557,175832,290,5R01,0
11141,48797,490012375E,COMMONDALE,523194,175874,88,5R02,0
11142,53354,490012375W,COMMONDALE,523246,175867,265,5R02,0
11143,56061,490011286M,PUTNEY BRIDGE ROAD,524078,175451,24,5S03,0
11144,52714,490011286L,PUTNEY EXCHANGE,524021,175258,198,5S03,0
11145,48259,490012055N,SHEFFIELD TERRACE,525404,180122,346,7A05,0
11146,47980,490012055S,SHEFFIELD TERRACE,525400,180205,170,7A05,0
11148,53044,490000086B,GLOUCESTER ROAD STATION <>,526286,178805,158,7B03,0
11149,76336,490010728N,PALACE GATE,526133,179622,357,7A10,0
1115,76984,490010160W,GREENWOOD ROAD,534305,184764,275,D308,0
11150,52348,490010728S,PALACE GATE,526146,179612,177,7A10,0
11151,50750,490012545E,STANHOPE GARDENS,526465,178774,75,7C07,0
11152,73670,490012545W,STANHOPE GARDENS,526501,178769,258,7C07,0
11154,56886,490015421E,ROYAL BROMPTON HOSP / ROYAL MARSDEN HOSP,526888,178445,44,7C04,0
11155,48050,490005062HF,CHELSEA AND WESTMINSTER HOSPITAL,526294,177810,50,7F16,0
11156,48434,490008380HD,HORTENSIA ROAD,525994,177482,30,7F14,0
1116,47134,490001273C,STOKE NEWINGTON STATION #,533660,186860,179,DA05,0
11160,58457,490011479S,REDCLIFFE SQUARE,525899,178043,146,7F02,0
11162,57315,490015228L,EARLS COURT ROAD / OLD BROMPTON ROAD,525708,178358,153,7F01,0
11164,50963,490000064A,EARLS COURT STATION <>,525575,178555,137,7908,0
11165,73405,490011943N,SCARSDALE VILLAS,525261,179007,337,7905,0
11166,71125,490011943S,PEMBROKE ROAD,525260,179045,160,7905,0
11169,72685,490015071E,GLOUCESTER ROAD,526381,178473,67,7F12,0
1117,75992,490010141W,MYDDELTON ROAD,530473,189320,259,9305,0
11170,51483,490015071W,GLOUCESTER ROAD,526425,178478,244,7F12,0
11171,73035,490004138E,BOLTON GARDENS / BROMPTON LIBRARY,525972,178386,61,7F10,0
11175,72303,490004437W,BROMPTON SQUARE,527301,179202,225,7002,0
11178,58397,490004436C,VICTORIA AND ALBERT MUSEUM,527069,179063,67,7001,0
11179,77289,490004436F,VICTORIA AND ALBERT MUSEUM,527143,179077,243,7001,0
11184,47455,490010779E,COLLINGHAM ROAD / SAINSBURY'S,525930,178872,82,7B05,0
11187,53896,490013096W,CROMWELL HOSPITAL,525737,178850,273,7B05,0
11195,50258,490003106W,WARWICK GARDENS,524825,179152,239,7902,0
11196,52909,490008286N,HOLLAND GARDENS,524416,179285,319,7704,0
11197,47592,490009406N,LOWER ADDISON GARDENS,524100,179643,319,7702,0
11205,72366,490013444S,PARK GROVE,518731,192232,140,SD13,0
11207,49149,490003210S,ALEXANDRA PALACE GARDEN CENTRE,529364,189816,120,9605,0
11208,75104,490003198S,ALEXANDRA PALACE ICE RINK,529632,189966,226,9603,0
11210,74301,490003199S,ALEXANDRA PALACE PALM COURT,529422,189902,273,9604,0
11211,77710,490003210N,ALEXANDRA PALACE GARDEN CENTRE,529343,189819,317,9605,0
11212,72468,490003196W,ALEXANDRA PALACE PARK,529981,190242,74,9601,0
11213,49393,490003198N,ALEXANDRA PALACE ICE RINK,529774,190157,50,9603,0
11215,52093,490003199E,ALEXANDRA PALACE PALM COURT,529426,189931,90,9604,0
11216,75655,490003196E,ALEXANDRA PALACE PARK,530022,190239,258,9601,0
11220,49282,490011822E,RUTLAND GARDENS,527314,179697,89,404,0
11221,73840,490011822W,KNIGHTSBRIDGE BARRACKS,527391,179679,276,404,0
11222,74344,490011198E,PRINCE OF WALES GATE,527043,179702,88,403,0
11223,50728,490011198W,PRINCE OF WALES GATE,527155,179684,273,403,0
11224,74330,4.90E+09,QUEEN'S GATE,526332,179632,92,7A09,0
11226,53438,490005069E,CHELSEA FOOTBALL CLUB,525786,177247,77,7F13,0
11227,54387,490005069W,CHELSEA FOOTBALL CLUB,525791,177232,256,6.00E+11,0
11230,55146,490011385E,RADIPOLE ROAD,524787,176796,50,6J03,0
11231,77462,490011385W,RADIPOLE ROAD,524733,176738,229,6J03,0
11232,55119,490007054E,FULHAM PALACE ROAD,524377,176296,47,6H08,0
11233,72537,490007054W,FULHAM PALACE ROAD,524411,176313,225,6H08,0
11234,71723,490010117E,MULGRAVE ROAD,524790,177728,56,6D02,0
11235,47512,490010358W,NORTH END ROAD,524960,177832,250,6D03,0
11239,49567,490013676W,FULHAM POOLS,524464,177578,238,6G06,0
11240,53586,490007050E,FULHAM CROSS,524166,177488,73,6G05,0
11242,50843,490007050W,FULHAM CROSS,524025,177505,298,6G04,0
11243,47725,490012117E,SHORROLDS ROAD,524870,177233,111,6J05,0
11244,56521,490012117W,SHORROLDS ROAD,524808,177244,284,6J05,0
11245,54692,490013548E,SHERBROOKE ROAD,524647,177284,100,6G08,0
11246,53855,490013548W,SHERBROOKE ROAD,524527,177300,284,6G08,0
11247,58762,490007754E,HANNELL ROAD,524269,177365,99,6G10,0
11248,54099,490007754W,MUNSTER ROAD,524237,177361,279,6G10,0
11249,74163,490007050S,MUNSTER ROAD / FULHAM CROSS,524152,177421,153,6G11,0
11251,76857,490009156V,LILLIE ROAD,524923,177745,334,6D01,0
11252,77170,490009156X,LILLIE ROAD,524883,177886,166,6D01,0
11253,49612,490014485N,WEST KENSINGTON ESTATE,524794,178088,336,6B02,0
11254,54809,490014485S,WEST KENSINGTON ESTATE,524807,178095,156,6B02,0
11255,51668,490000265B,WEST KENSINGTON STATION <>,524615,178299,339,6B01,0
11256,76285,490000265A,WEST KENSINGTON STATION <>,524603,178372,164,6B01,0
11258,76311,490009492S,LYTTON ESTATE,524523,178602,150,6A03,0
11259,55041,490009492N,LYTTON ESTATE,524437,178676,312,6A03,0
