exif_make	exif_model	exif_lens_make	exif_lens_model	exif_lens_id	camera_slug	lens_slug
Apple	iPhone SE (1st generation)	Apple	iPhone SE (1st generation) back camera 4.15mm f/2.2	iPhone SE (1st generation) back camera 4.15mm f/2.2	apple-iphone-se	apple-iphone-se-1st-generation-4-15mm-f-2-2
Apple	iPhone 15 Pro	Apple	iPhone 15 Pro back triple camera 6.86mm f/1.78	iPhone 15 Pro back triple camera 6.86mm f/1.78	apple-iphone-15-pro	apple-iphone-15-pro-6-86mm-f-1-78
Canon	Canon EOS 6D		EF70-200mm f/4L IS USM	242	canon-eos-6d	ef70-200mm-f-4l-is-usm
Canon	Canon EOS 7D		EF16-35mm f/2.8L II USM	246	canon-eos-7d	ef16-35mm-f-2-8l-ii-usm
Apple	iPhone 15 Pro	Apple	iPhone 15 Pro back triple camera 2.22mm f/2.2	iPhone 15 Pro back triple camera 2.22mm f/2.2	apple-iphone-15-pro	apple-iphone-15-pro-2-22mm-f-2-2
PENTAX Corporation	PENTAX Optio S10				pentax-optio-s10	zz
Canon	Canon DIGITAL IXUS 850 IS			65535	canon-digital-ixus-850-is	zz
Apple	iPhone SE	Apple	iPhone SE front camera 2.15mm f/2.4	iPhone SE front camera 2.15mm f/2.4	apple-iphone-se	apple-iphone-se-front-camera-2-15mm-f-2-4
Canon	Canon EOS M10		EF-M15-45mm f/3.5-6.3 IS STM	4153	canon-eos-m10	ef-m15-45mm-f-3-5-6-3-is-stm
Canon	Canon EOS 7D		EF70-200mm f/4L IS USM	242	canon-eos-7d	ef70-200mm-f-4l-is-usm
CASIO COMPUTER CO.,LTD.	EX-Z700				casio-ex-z700	zz
Sony Ericsson	C901				sony-ericsson-c901	zz
Canon	Canon PowerShot A530			65535	canon-powershot-a530	zz
Apple	iPhone 15 Pro	Apple	iPhone 15 Pro back triple camera 9mm f/2.8	iPhone 15 Pro back triple camera 9mm f/2.8	apple-iphone-15-pro	apple-iphone-15-pro-9mm-f-2-8
Canon	Canon IXUS 220HS			65535	canon-ixus-220hs	zz
Panasonic	DMC-TZ4				panasonic-dmc-tz4	zz
Canon	Canon EOS 700D		EF-S18-55mm f/3.5-5.6 IS STM	4146	canon-eos-700d	ef-s18-55mm-f-3-5-5-6-is-stm
Canon	Canon PowerShot A480			65535	canon-powershot-a480	zz
Canon	Canon PowerShot A1000 IS			65535	canon-powershot-a1000-is	zz
PRAKTICA	DVC 10.1 HDMI				praktica-dvc-10-1-hdmi	zz
Apple	iPhone 6	Apple	iPhone 6 front camera 2.65mm f/2.2	iPhone 6 front camera 2.65mm f/2.2	apple-iphone-6	apple-iphone-6-front-camera-2-65mm-f-2-2
Apple	iPhone 5s	Apple	iPhone 5s front camera 2.15mm f/2.4	iPhone 5s front camera 2.15mm f/2.4	apple-iphone-5s	apple-iphone-5s-front-camera-2-15mm-f-2-4
Google	Pixel 3				google-pixel-3	zz
Canon	Canon EOS 5D		EF17-40mm f/4L USM	231	canon-eos-5d	ef17-40mm-f-4l-usm
Apple	iPhone 12 mini		iPhone 12 mini back camera 4.2mm f/1.6	iPhone 12 mini back camera 4.2mm f/1.6	apple-iphone-12-mini	iphone-12-mini-4-2mm-f-1-6
HTC	HTC Sensation Z710e				htc-sensation-z710e	zz
Panasonic	DMC-FZ18				panasonic-dmc-fz18	zz
Canon	Canon EOS 6D		EF100mm f/2.8L Macro IS USM	254	canon-eos-6d	ef100mm-f-2-8l-macro-is-usm
SONY	ILCE-6000		E 55-210mm F4.5-6.3 OSS	65535	sony-alpha-6000	e-55-210mm-f4-5-6-3-oss
Canon	Canon PowerShot SX100 IS			65535	canon-powershot-sx100-is	zz
Canon	Canon EOS 6D		EF16-35mm f/2.8L II USM	246	canon-eos-6d	ef16-35mm-f-2-8l-ii-usm
Canon	Canon IXUS 115 HS			65535	canon-ixus-115-hs	zz
Canon	Canon EOS 10D				canon-eos-10d	zz
EASTMAN KODAK COMPANY	KODAK EASYSHARE M1033 DIGITAL CAMERA				kodak-easyshare-m1033-digital-camera	zz
CASIO COMPUTER CO.,LTD.	EX-Z60				casio-ex-z60	zz
EASTMAN KODAK COMPANY	KODAK EASYSHARE C913 DIGITAL CAMERA				kodak-easyshare-c913-digital-camera	zz
Apple	iPhone 15 Pro		iPhone 15 Pro back camera 6.765mm f/1.78	iPhone 15 Pro back camera 6.765mm f/1.78	apple-iphone-15-pro	iphone-15-pro-6-765mm-f-1-78
NIKON CORPORATION	NIKON D3100			9E 40 2D 6A 2C 3C A0 0E	nikon-d3100	9e-40-2d-6a-2c-3c-a0-0e
HUAWEI	SNE-LX1				huawei-mate-20-lite	zz
Apple	iPhone SE				apple-iphone-se	zz
Canon	Canon EOS 7D		EF70-200mm f/4L IS USM +1.4x	243	canon-eos-7d	ef70-200mm-f-4l-is-usm-1-4x
Canon	Canon EOS M6		EF-M22mm f/2 STM	4145	canon-eos-m6	ef-m22mm-f-2-stm
Google	Pixel 6	Google	Pixel 6 back camera 6.81mm f/1.85	Pixel 6 back camera 6.81mm f/1.85	google-pixel-6	google-pixel-6-6-81mm-f-1-85
Apple	iPhone 5s				apple-iphone-5s	zz
Canon	Canon EOS 70D		17-50mm	240	canon-eos-70d	17-50mm
OLYMPUS IMAGING CORP.	FE4000,X920,X925				olympus-fe4000-x920-x925	zz
EASTMAN KODAK COMPANY	KODAK C310 DIGITAL CAMERA				kodak-c310-digital-camera	zz
Canon	Canon EOS 7D		EF40mm f/2.8 STM	4144	canon-eos-7d	ef40mm-f-2-8-stm
Panasonic	DMC-FZ62				panasonic-dmc-fz62	zz
NIKON	COOLPIX P100				nikon-coolpix-p100	zz
Canon	Canon EOS 550D		EF50mm f/1.4 USM	198	canon-eos-550d	ef50mm-f-1-4-usm
Canon	Canon EOS 6D		50mm	169	canon-eos-6d	50mm
Canon	Canon EOS 6D		EF50mm f/1.4 USM	198	canon-eos-6d	ef50mm-f-1-4-usm
CASIO COMPUTER CO.,LTD	EX-S100				casio-ex-s100	zz
Nokia	Lumia 625				nokia-lumia-625	zz
Samsung Techwin	<Digimax i5, Samsung #1>				samsung-digimax-i5-samsung-1	zz
NEINGRENZE	5000T				neingrenze-5000t	zz
FUJIFILM	FinePix S6500fd				fujifilm-finepix-s6500fd	zz
VenTrade GmbH, Germany	SECACAM Raptor				ventrade-secacam-raptor	zz
Apple	iPhone 15 Pro	Apple	iPhone 15 Pro front TrueDepth camera 2.69mm f/1.9	iPhone 15 Pro front TrueDepth camera 2.69mm f/1.9	apple-iphone-15-pro	apple-iphone-15-pro-front-truedepth-camera-2-69mm-f-1-9
Canon	Canon PowerShot G5			65535	canon-powershot-g5	zz
SONY	ILCE-7M3		E 20-40mm F2.8 A062	E 20-40mm F2.8 A062	sony-alpha-7-iii	e-20-40mm-f2-8-a062
Canon	Canon EOS 5D				canon-eos-5d	zz
Apple	iPhone 12 mini				apple-iphone-12-mini	zz
Canon	Canon EOS M6		EF-M15-45mm f/3.5-6.3 IS STM	4153	canon-eos-m6	ef-m15-45mm-f-3-5-6-3-is-stm
EASTMAN KODAK COMPANY	KODAK EASYSHARE C1013 DIGITAL CAMERA				kodak-easyshare-c1013-digital-camera	zz
Canon	Canon PowerShot S20				canon-powershot-s20	zz
Digital Camera	DS5MP				digital-camera-ds5mp	zz
Panasonic	DMC-FT4				panasonic-dmc-ft4	zz
Apple	iPod touch				apple-ipod-touch	zz
CASIO COMPUTER CO.,LTD.	EX-Z120				casio-ex-z120	zz
OLYMPUS OPTICAL CO.,LTD	DP12				olympus-dp12	zz
FUJIFILM	FinePix JX500				fujifilm-finepix-jx500	zz
FUJIFILM	FinePix2400Zoom				fujifilm-finepix2400zoom	zz
OLYMPUS IMAGING CORP.	E-PL7		OLYMPUS M.14-42mm F3.5-5.6 EZ	0 21 10	olympus-e-pl7	olympus-m-14-42mm-f3-5-5-6-ez
Canon	Canon PowerShot A570 IS			65535	canon-powershot-a570-is	zz
Apple	iPhone 12 mini	Apple	iPhone 12 mini front camera 2.71mm f/2.2	iPhone 12 mini front camera 2.71mm f/2.2	apple-iphone-12-mini	apple-iphone-12-mini-front-camera-2-71mm-f-2-2
Canon	Canon EOS 20D				canon-eos-20d	zz
PENTAX Corporation	PENTAX Optio S5n				pentax-optio-s5n	zz
Google	Pixel 3a				google-pixel-3a	zz
Nokia	Lumia 530 Dual SIM				nokia-lumia-530-dual-sim	zz
Nokia	Lumia 630				nokia-lumia-630	zz
Canon	Canon IXUS 105			65535	canon-ixus-105	zz
ASUS	ASUS_AI2302				asus-zenfone-10	zz
Canon	Canon EOS 700D		EF50mm f/1.8 II	29	canon-eos-700d	ef50mm-f-1-8-ii
GoPro	HERO5 Black				gopro-hero5-black	zz
Apple	iPhone SE (1st generation)	Apple	iPhone SE (1st generation) front camera 2.15mm f/2.4	iPhone SE (1st generation) front camera 2.15mm f/2.4	apple-iphone-se	apple-iphone-se-1st-generation-front-camera-2-15mm-f-2-4
Apple	iPhone SE (1st generation)				apple-iphone-se	zz
Xiaomi	2312DRA50G				xiaomi-2312dra50g	zz
Apple	iPhone 4S	Apple	iPhone 4S back camera 4.28mm f/2.4	iPhone 4S back camera 4.28mm f/2.4	apple-iphone-4s	apple-iphone-4s-4-28mm-f-2-4
Osmo	OQ001				osmo-oq001	zz
Canon	Canon EOS 7D		18-50mm	6	canon-eos-7d	18-50mm
SAMSUNG	GT-P3113				samsung-gt-p3113	zz
Apple	iPhone 6				apple-iphone-6	zz
Apple	iPhone 12 mini	Apple	iPhone 12 mini back camera 4.2mm f/1.6	iPhone 12 mini back camera 4.2mm f/1.6	apple-iphone-12-mini	apple-iphone-12-mini-4-2mm-f-1-6
OLYMPUS CORPORATION	E-M1MarkII		OLYMPUS M.45mm F1.8	0 11 10	olympus-e-m1markii	olympus-m-45mm-f1-8
Nokia	N97 mini				nokia-n97-mini	zz
SONY	ILCE-6000		E PZ 16-50mm F3.5-5.6 OSS	65535	sony-alpha-6000	e-pz-16-50mm-f3-5-5-6-oss
Apple	iPhone 15 Pro		iPhone 15 Pro back camera 6.86mm f/1.78	iPhone 15 Pro back camera 6.86mm f/1.78	apple-iphone-15-pro	iphone-15-pro-6-86mm-f-1-78
samsung	SM-G950F				samsung-galaxy-s8	zz
SONY	ILCE-7M3		TTARTISAN 75mm F2.0	TTARTISAN 75mm F2.0	sony-alpha-7-iii	ttartisan-75mm-f2-0
MINOLTA	Dimage V				minolta-dimage-v	zz
HUAWEI	FRD-L09				huawei-frd-l09	zz
Nokia	N97				nokia-n97	zz
GCMC	RODFS50				kodak-slide-n-scan	zz
EASTMAN KODAK COMPANY	KODAK V530 ZOOM DIGITAL CAMERA				kodak-v530-zoom-digital-camera	zz
Apple	iPhone 13 Pro	Apple	iPhone 13 Pro back triple camera 5.7mm f/1.5	iPhone 13 Pro back triple camera 5.7mm f/1.5	apple-iphone-13-pro	apple-iphone-13-pro-5-7mm-f-1-5
Canon	Canon EOS 50D				canon-eos-50d	zz
Apple	iPad mini	Apple	iPad mini back camera 3mm f/1.8	iPad mini back camera 3mm f/1.8	apple-ipad-mini	apple-ipad-mini-3mm-f-1-8
Canon	Canon EOS 5D			237	canon-eos-5d	zz
CASIO COMPUTER CO.,LTD.	EX-Z850				casio-ex-z850	zz
Canon	Canon PowerShot A2200			65535	canon-powershot-a2200	zz
CASIO COMPUTER CO.,LTD	EX-S3				casio-ex-s3	zz
Sony	XQ-BQ52				sony-xq-bq52	zz
Panasonic	DMC-LF1				panasonic-dmc-lf1	zz
SAMSUNG	GT-I9195				samsung-gt-i9195	zz
Canon	Canon IXUS 500 HS			65535	canon-ixus-500-hs	zz
Canon	Canon EOS 5D		EF70-200mm f/2.8L USM	165	canon-eos-5d	ef70-200mm-f-2-8l-usm
FUJIFILM	FinePix F300EXR				fujifilm-finepix-f300exr	zz
Canon	Canon EOS 6D		10-20mm	152	canon-eos-6d	10-20mm
Apple	iPhone 12 mini	Apple	iPhone 12 mini back dual wide camera 1.55mm f/2.4	iPhone 12 mini back dual wide camera 1.55mm f/2.4	apple-iphone-12-mini	apple-iphone-12-mini-1-55mm-f-2-4
SAMSUNG	GT-I9001				samsung-gt-i9001	zz
Canon	Canon EOS 50D		EF-S17-85mm f/4-5.6 IS USM	234	canon-eos-50d	ef-s17-85mm-f-4-5-6-is-usm
Apple	iPhone 15 Pro	Apple	iPhone 15 Pro back dual wide camera 6.765mm f/1.78	iPhone 15 Pro back dual wide camera 6.765mm f/1.78	apple-iphone-15-pro	apple-iphone-15-pro-6-765mm-f-1-78
Apple	iPhone 15 Pro		iPhone 15 Pro back camera 2.22mm f/2.2	iPhone 15 Pro back camera 2.22mm f/2.2	apple-iphone-15-pro	iphone-15-pro-2-22mm-f-2-2
Canon	Canon EOS 550D			0	canon-eos-550d	zz
SAMSUNG	SGH-I537				samsung-sgh-i537	zz
Canon	Canon PowerShot A495			65535	canon-powershot-a495	zz
Canon	Canon EOS 10D		28.0-75.0 mm	28.0-75.0 mm	canon-eos-10d	28-0-75-0-mm
Canon	Canon EOS 6D			0	canon-eos-6d	zz
Canon	Canon EOS 10D			24.0-105.0 mm	canon-eos-10d	24-0-105-0-mm
Apple	iPhone 7	Apple	iPhone 7 back camera 3.99mm f/1.8	iPhone 7 back camera 3.99mm f/1.8	apple-iphone-7	apple-iphone-7-3-99mm-f-1-8
Apple	iPhone 15 Pro	Apple	iPhone 15 Pro back camera 6.765mm f/1.78	iPhone 15 Pro back camera 6.765mm f/1.78	apple-iphone-15-pro	apple-iphone-15-pro-6-765mm-f-1-78
NIKON	SQ				nikon-sq	zz
Canon	Canon EOS 450D			29	canon-eos-450d	zz
Apple	iPhone				apple-iphone	zz
Apple	iPhone SE (2nd generation)	Apple	iPhone SE (2nd generation) back camera 3.99mm f/1.8	iPhone SE (2nd generation) back camera 3.99mm f/1.8	apple-iphone-se	apple-iphone-se-2nd-generation-3-99mm-f-1-8
Apple	iPhone 14	Apple	iPhone 14 back dual wide camera 5.7mm f/1.5	iPhone 14 back dual wide camera 5.7mm f/1.5	apple-iphone-14	apple-iphone-14-5-7mm-f-1-5
Canon	Canon EOS D30			148	canon-eos-d30	zz
Canon	Canon EOS 550D		50mm	169	canon-eos-550d	50mm
Canon	Canon EOS 400D DIGITAL		EF-S18-55mm f/3.5-5.6	45	canon-eos-400d-digital	ef-s18-55mm-f-3-5-5-6
Panasonic	DMC-TZ2				panasonic-dmc-tz2	zz
Apple	iPhone 15 Pro		iPhone 15 Pro back camera 9mm f/2.8	iPhone 15 Pro back camera 9mm f/2.8	apple-iphone-15-pro	iphone-15-pro-9mm-f-2-8
Apple	iPad Air (4th generation)				apple-ipad-air	zz
Google	Pixel 6	Google	Pixel 6 front camera 2.51mm f/2.0	Pixel 6 front camera 2.51mm f/2.0	google-pixel-6	google-pixel-6-front-camera-2-51mm-f-2-0
Canon	Canon PowerShot A2200				canon-powershot-a2200	zz
Apple	iPad Air (4th generation)	Apple	iPad Air (4th generation) back camera 3mm f/1.8	iPad Air (4th generation) back camera 3mm f/1.8	apple-ipad-air	apple-ipad-air-4th-generation-3mm-f-1-8
SONY	DSC-W120				sony-dsc-w120	zz
Canon	Canon DIGITAL IXUS 100 IS			65535	canon-digital-ixus-100-is	zz
Apple	iPhone 11 Pro	Apple	iPhone 11 Pro back triple camera 4.25mm f/1.8	iPhone 11 Pro back triple camera 4.25mm f/1.8	apple-iphone-11-pro	apple-iphone-11-pro-4-25mm-f-1-8
SAMSUNG	GT-I8190				samsung-gt-i8190	zz
SAMSUNG TECHWIN CO., LTD.	Samsung L73				samsung-techwin-co-ltd-samsung-l73	zz
Canon	Canon EOS M		EF100mm f/2.8L Macro IS USM	254	canon-eos-m	ef100mm-f-2-8l-macro-is-usm
Canon	Canon EOS 6D		30mm	169	canon-eos-6d	30mm
Apple	iPhone 13 Pro	Apple	iPhone 13 Pro front camera 2.71mm f/2.2	iPhone 13 Pro front camera 2.71mm f/2.2	apple-iphone-13-pro	apple-iphone-13-pro-front-camera-2-71mm-f-2-2
samsung	SM-T515				samsung-sm-t515	zz
SONY	CYBERSHOT				sony-cybershot	zz
SAMSUNG	GT-S5830				samsung-gt-s5830	zz
NIKON	P100				nikon-p100	zz
FUJIFILM	FinePix S5700 S700				fujifilm-finepix-s5700-s700	zz
LG Electronics	LG-H815				lg-h815	zz
Canon	Canon PowerShot G5				canon-powershot-g5	zz
Canon	Canon PowerShot A570 IS				canon-powershot-a570-is	zz
Canon	Canon EOS 400D DIGITAL		EF-S17-85mm f/4-5.6 IS USM	234	canon-eos-400d-digital	ef-s17-85mm-f-4-5-6-is-usm
Canon	Canon EOS 10D			17.0-40.0 mm	canon-eos-10d	17-0-40-0-mm
Apple	iPhone XR	Apple	iPhone XR back camera 4.25mm f/1.8	iPhone XR back camera 4.25mm f/1.8	apple-iphone-xr	apple-iphone-xr-4-25mm-f-1-8
AgfaPhoto GmbH	d-lab.2/3				agfaphoto-gmbh-d-lab-2-3	zz
		Apple	iPhone 5s back camera 4.15mm f/2.2	iPhone 5s back camera 4.15mm f/2.2	zz	apple-iphone-5s-4-15mm-f-2-2
htc_europe	HTC Sensation Z710e				htc_europe-htc-sensation-z710e	zz
Panasonic	DMC-TZ7				panasonic-dmc-tz7	zz
OLYMPUS DIGITAL CAMERA	D4410				olympus-d4410	zz
Canon	Canon EOS M10		EF-M22mm f/2 STM	4145	canon-eos-m10	ef-m22mm-f-2-stm
Apple	iPhone 15 Pro				apple-iphone-15-pro	zz
Apple	iPhone 13 Pro	Apple	iPhone 13 Pro back triple camera 1.57mm f/1.8	iPhone 13 Pro back triple camera 1.57mm f/1.8	apple-iphone-13-pro	apple-iphone-13-pro-1-57mm-f-1-8
Apple	iPhone 12 mini	Apple	iPhone 12 mini front TrueDepth camera 2.71mm f/2.2	iPhone 12 mini front TrueDepth camera 2.71mm f/2.2	apple-iphone-12-mini	apple-iphone-12-mini-front-truedepth-camera-2-71mm-f-2-2
	ASUS_AI2302				zenfone-10	zz
SONY	DSLR-A290			55	sony-dslr-a290	zz
OnePlus	ONEPLUS A5010				oneplus-oneplus-a5010	zz
Nokia	6300				nokia-6300	zz
NIKON	COOLPIX S2550				nikon-coolpix-s2550	zz
NIKON CORPORATION	NIKON D90				nikon-d90	zz
NIKON CORPORATION	NIKON D800E			163	nikon-d800e	zz
Canon	Canon PowerShot A630				canon-powershot-a630	zz
Canon	Canon EOS 7D			246	canon-eos-7d	zz
Canon	Canon EOS 5D			246	canon-eos-5d	zz
Canon	Canon EOS 5D Mark III			187	canon-eos-5d-mark-iii	zz
Canon	Canon EOS 10D			28.0-75.0 mm	canon-eos-10d	28-0-75-0-mm
Canon	Canon DIGITAL IXUS 70				canon-digital-ixus-70	zz
Apple	iPhone 5				apple-iphone-5	zz
Apple	iPhone 3GS				apple-iphone-3gs	zz
Apple	iPad				apple-ipad	zz
		Apple	iPad mini 2 back camera 3.3mm f/2.4	iPad mini 2 back camera 3.3mm f/2.4	zz	apple-ipad-mini-2-3-3mm-f-2-4
samsung	SM-G998B				samsung-galaxy-s21-ultra	zz
samsung	SM-G950U				samsung-sm-g950u	zz
motorola	moto g75 5G				motorola-moto-g75-5g	zz
Xiaomi	Mi A2 Lite				xiaomi-mi-a2-lite	zz
SONY	ILCE-7		----		sony-alpha-7	_fuws1li
SONY	DSC-HX1				sony-dsc-hx1	zz
SAMSUNG	SM-C200				samsung-sm-c200	zz
SAMSUNG	SGH-250I				samsung-sgh-250i	zz
Research In Motion	Blackberry Z10				blackberry-z10	zz
Panasonic	DMC-GH3			LUMIX G VARIO 14-140/F4.0-5.8	panasonic-dmc-gh3	lumix-g-vario-14-140-f4-0-5-8
PENTACON	DCZ 5.5				pentacon-dcz-5-5	zz
Nokia	C5-00.2				nokia-c5-00-2	zz
NIKON	COOLPIX L620				nikon-coolpix-l620	zz
NIKON CORPORATION	NIKON D800E		50.0 mm f/1.4	160	nikon-d800e	50-0-mm-f-1-4
NIKON CORPORATION	NIKON D800E			170	nikon-d800e	zz
NIKON CORPORATION	NIKON D800		28.0-70.0 mm f/2.8	93	nikon-d800	28-0-70-0-mm-f-2-8
NIKON CORPORATION	NIKON D70				nikon-d70	zz
NIKON CORPORATION	NIKON D610		90.0 mm f/2.8	248	nikon-d610	90-0-mm-f-2-8
NIKON CORPORATION	NIKON D610		50.0 mm f/1.4	160	nikon-d610	50-0-mm-f-1-4
NIKON CORPORATION	NIKON D610			FE 48 37 5C 24 24 DF 0E	nikon-d610	fe-48-37-5c-24-24-df-0e
NIKON CORPORATION	NIKON D5500		18.0-55.0 mm f/3.5-5.6	160	nikon-d5500	18-0-55-0-mm-f-3-5-5-6
NIKON CORPORATION	NIKON D4S				nikon-d4s	zz
Motorola	MotoG3				motorola-motog3	zz
LEICA CAMERA AG	LEICA Q2		28.0 mm f/1.7	28.0 mm f/1.7	leica-camera-ag-leica-q2	28-0-mm-f-1-7
LEICA CAMERA AG	LEICA Q (Typ 116)	LEICA CAMERA AG	28.0 mm f/1.7	28.0 mm f/1.7	leica-camera-ag-leica-q-typ-116	leica-camera-ag-28-0-mm-f-1-7
Kodak	Kodak DCS720X				kodak-dcs720x	zz
Hasselblad	L1D-20c		28.0 mm f/2.8	28.0 mm f/2.8	hasselblad-l1d-20c	28-0-mm-f-2-8
HUAWEI	ELE-L29		HUAWEI P30 Front Camera		huawei-p30	huawei-p30-front-camera
Google	Pixel 8a	Google	Pixel 8a back camera 5.43mm f/1.89	Pixel 8a back camera 5.43mm f/1.89	google-pixel-8a	google-pixel-8a-5-43mm-f-1-89
Google	Pixel 7 Pro	Google	Pixel 7 Pro back camera 19.0mm f/3.5	Pixel 7 Pro back camera 19.0mm f/3.5	google-pixel-7-pro	google-pixel-7-pro-19-0mm-f-3-5
Google	Pixel 3 XL				google-pixel-3-xl	zz
FUJIFILM	FinePix F20				fujifilm-finepix-f20	zz
Canon	Canon PowerShot SX510 HS			65535	canon-powershot-sx510-hs	zz
Canon	Canon PowerShot SX510 HS				canon-powershot-sx510-hs	zz
Canon	Canon PowerShot SX120 IS			65535	canon-powershot-sx120-is	zz
Canon	Canon PowerShot A85				canon-powershot-a85	zz
Canon	Canon EOS-1D X Mark III		EF70-200mm f/2.8L IS USM	EF70-200mm f/2.8L IS USM	canon-eos-1d-x-mark-iii	ef70-200mm-f-2-8l-is-usm
Canon	Canon EOS-1D X Mark II				canon-eos-1d-x-mark-ii	zz
Canon	Canon EOS-1D Mark II			70.0-200.0 mm	canon-eos-1d-mark-ii	70-0-200-0-mm
Canon	Canon EOS R		RF24-105mm F4 L IS USM	61182	canon-eos-r	rf24-105mm-f4-l-is-usm
Canon	Canon EOS M		30mm	169	canon-eos-m	30mm
Canon	Canon EOS 7D			6	canon-eos-7d	zz
Canon	Canon EOS 6D		EF50mm f/2.5 Compact Macro	EF50mm f/2.5 Compact Macro	canon-eos-6d	ef50mm-f-2-5-compact-macro
Canon	Canon EOS 6D		EF16-35mm f/4L IS USM	507	canon-eos-6d	ef16-35mm-f-4l-is-usm
Canon	Canon EOS 60D			224	canon-eos-60d	zz
Canon	Canon EOS 5DS		EF70-200mm f/2.8L IS II USM	251	canon-eos-5ds	ef70-200mm-f-2-8l-is-ii-usm
Canon	Canon EOS 5D			169	canon-eos-5d	zz
Canon	Canon EOS 5D Mark IV		Canon EF 24-70mm f/2.8L USM	Canon EF 24-70mm f/2.8L USM	canon-eos-5d-mark-iv	canon-ef-24-70mm-f-2-8l-usm
Canon	Canon EOS 5D Mark III		EF70-200mm f/4L USM +1.4x	187	canon-eos-5d-mark-iii	ef70-200mm-f-4l-usm-1-4x
Canon	Canon EOS 5D Mark III		EF70-200mm f/4L IS USM	242	canon-eos-5d-mark-iii	ef70-200mm-f-4l-is-usm
Canon	Canon EOS 5D Mark III		EF24-70mm f/2.8L II USM	EF24-70mm f/2.8L II USM	canon-eos-5d-mark-iii	ef24-70mm-f-2-8l-ii-usm
Canon	Canon EOS 5D Mark III		EF24-105mm f/4L IS USM	237	canon-eos-5d-mark-iii	ef24-105mm-f-4l-is-usm
Canon	Canon EOS 5D Mark III				canon-eos-5d-mark-iii	zz
Canon	Canon EOS 5D Mark II		EF24-105mm f/4L IS USM	237	canon-eos-5d-mark-ii	ef24-105mm-f-4l-is-usm
Canon	Canon EOS 5D Mark II			EF24-70mm f/2.8L USM	canon-eos-5d-mark-ii	ef24-70mm-f-2-8l-usm
Canon	Canon EOS 5D Mark II			190	canon-eos-5d-mark-ii	zz
Canon	Canon EOS 450D			EF35mm f/2	canon-eos-450d	ef35mm-f-2
Canon	Canon EOS 20D			17.0-85.0 mm	canon-eos-20d	17-0-85-0-mm
Canon	Canon EOS 10D		24.0-85.0 mm	24.0-85.0 mm	canon-eos-10d	24-0-85-0-mm
Canon	Canon EOS 10D		18.0-50.0 mm	18.0-50.0 mm	canon-eos-10d	18-0-50-0-mm
Canon	Canon EOS 10D		17.0-40.0 mm	17.0-40.0 mm	canon-eos-10d	17-0-40-0-mm
Canon	Canon DIGITAL IXUS v2				canon-digital-ixus-v2	zz
Canon	Canon DIGITAL IXUS 850 IS			4.6-17.3 mm	canon-digital-ixus-850-is	4-6-17-3-mm
Canon	Canon DIGITAL IXUS 30			65535	canon-digital-ixus-30	zz
CASIO	QV-3500EX				casio-qv-3500ex	zz
BlackBerry	BlackBerry Z10				blackberry-z10	zz
